0 Inch Distance Reading Experiment

            EPC                        Meta Data
------------------------   ------------------------
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ^3,2,000000000,0,0
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ^6,3,2,000000000,0,0
------------------------   ------------------------
------------------------   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
5678900000000000   3000201602260000000000000271ecee
------------------------   ------------------------
000000,   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
------------------------   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
------------------------   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ^0000000,0,0
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ^000000000,0,0
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ^2,000000000,0,0
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ^3,2,000000000,0,0
