EPC Value : 201602260000000000000280   MetaData Value: 765432090000000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 30002016022600000000000002796de6987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 0002016022600000000000002796de6987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 022600000000000002796de6987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 0002016022600000000000002796de6987600000121000000000000
EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
