EPC Value : 201602260000000000000279   MetaData Value: 987600000121000000000000
EPC Value : 5678901000000000   MetaData Value: 3000201602260000000000000271ecee
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 5678901000000000   MetaData Value: 3000201602260000000000000271ecee
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789010000000000000
