EPC Value : 5678900000000000   MetaData Value: 3000201602260000000000000271ecee
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
EPC Value : 201602260000000000000271   MetaData Value: 123456789000000000000000
